Lookback,ExcludeRecent,Sharpe,CAGR,MaxDrawdown,TotalReturn
20,3,0.15609310472866794,0.009020224199566051,-0.09948672859130525,0.04457318070889449
26,3,0.14257586400472033,0.008434479958610686,-0.10087764868928206,0.03647528199688743
18,1,0.126135842614714,0.007670690718278639,-0.09894299642507022,0.0374485729549936
24,4,0.108889295473599,0.006483685661694105,-0.11288349941748017,0.0260617039671851
26,2,0.0991071259607838,0.0059418954476275765,-0.11273235311263918,0.022902882118635892
22,4,0.09902252383260847,0.006333028982534961,-0.09706144616702352,0.02452403298819461
24,2,0.092105193783511,0.005570885958581462,-0.11907922603232468,0.021377154986508273
16,1,0.055728951454180636,0.003440667687518273,-0.15204737474263466,0.010065519869052464
22,1,0.05527270934376879,0.0032017039470408903,-0.1207835501675085,0.00911012690651214
16,2,0.029735688691666425,0.0018066177962177132,-0.15596861580020985,-0.00021364775214405274
10,1,0.025973252693547028,0.0014776013702064716,-0.15794035311919125,-0.0009726823287034003
14,1,0.005746438679554454,0.0003593543510822528,-0.1412215288080641,-0.01067121691620676
18,4,0.001635060105291577,9.690651954552543e-05,-0.17476445344646913,-0.010000305158825107
20,1,-0.004455960849633222,-0.0002574868160689636,-0.13696361139232816,-0.011765469749788648
24,3,-0.008683400898711792,-0.0005296457801975407,-0.1050795652638739,-0.013230296614771264
18,2,-0.01161306378172179,-0.0006683214340484911,-0.17499367484250428,-0.014389881355199252
20,4,-0.016273013975993785,-0.0010099130565117687,-0.17423859957506455,-0.017082931355103304
22,2,-0.02182359205706222,-0.001325028828982,-0.1344567847547503,-0.01840293539845328
20,2,-0.023906436157423473,-0.0013751656910562238,-0.1637460978837044,-0.018171276606741116
22,3,-0.03360733121154891,-0.0020755679867315857,-0.10057138723508786,-0.02271258887170291
16,4,-0.041811080920205655,-0.0024874832213268583,-0.17875294317719853,-0.026248369442235964
8,2,-0.045012874009546414,-0.00262255850254256,-0.21547592894225598,-0.030670067642193155
18,3,-0.06991358044599798,-0.004103044330544425,-0.16707885262472885,-0.03523313737071321
26,1,-0.10298681268623427,-0.006067870458570046,-0.13630187747819916,-0.04267846948949061
26,4,-0.11814587939527674,-0.006932131059511515,-0.1152038243151429,-0.04484005879262842
14,4,-0.12260076312050049,-0.007273484167638067,-0.15747586383257642,-0.056647342209068086
10,3,-0.12491016544651147,-0.007046873988268754,-0.1527139888441955,-0.05818351107767361
12,1,-0.15444987452249392,-0.010073121263405538,-0.1648411340242471,-0.08133742613176242
8,1,-0.19493792711205543,-0.010522157892774997,-0.15894680217869964,-0.08417443878045949
16,3,-0.19891328959238486,-0.0118630557720808,-0.1721168626588472,-0.0833232888903751
8,3,-0.23808736104340048,-0.01386567577641562,-0.21610932439149216,-0.10540147889506557
14,2,-0.25118526864273255,-0.014905152359387497,-0.1830844750543131,-0.10530490615732535
24,1,-0.26750420551494375,-0.016317643131997128,-0.15649620275312293,-0.10025701474456161
10,4,-0.29340195004385833,-0.016717962875178904,-0.23291155476881076,-0.11852242037807181
10,2,-0.3487177152550939,-0.020105735569811545,-0.23320324092458122,-0.14291256812750985
12,2,-0.37401332047610747,-0.022609740859451,-0.22008458788917395,-0.15515903685592525
8,4,-0.4009838968953108,-0.022326053583174077,-0.2802744245817645,-0.1557704806209168
14,3,-0.47005192883022723,-0.027248615610253712,-0.22402638172886596,-0.17435522226041422
12,4,-0.4972131764778101,-0.030136106306901778,-0.27861361048015726,-0.1935956025364296
12,3,-0.5163017937574634,-0.029489808375049997,-0.2593151894527852,-0.1913797770053257
