portfolio_name,sym,wt
XLK_long,XLK,1.0
XLK_long,SPY,-1.277262367495975
XLK_short,XLK,-1.0
XLK_short,SPY,1.277262367495975
XLF_long,XLF,1.0
XLF_long,SPY,-0.7892082091661714
XLF_short,XLF,-1.0
XLF_short,SPY,0.7892082091661714
XLV_long,XLV,1.0
XLV_long,SPY,-0.46296344396422123
XLV_short,XLV,-1.0
XLV_short,SPY,0.46296344396422123
XLY_long,XLY,1.0
XLY_long,SPY,-1.0870959131715499
XLY_short,XLY,-1.0
XLY_short,SPY,1.0870959131715499
XLP_long,XLP,1.0
XLP_long,SPY,-0.29840085104071046
XLP_short,XLP,-1.0
XLP_short,SPY,0.29840085104071046
XLE_long,XLE,1.0
XLE_long,SPY,-0.8433147170079999
XLE_short,XLE,-1.0
XLE_short,SPY,0.8433147170079999
XLI_long,XLI,1.0
XLI_long,SPY,-0.8665973577975572
XLI_short,XLI,-1.0
XLI_short,SPY,0.8665973577975572
XLB_long,XLB,1.0
XLB_long,SPY,-0.8376265087944534
XLB_short,XLB,-1.0
XLB_short,SPY,0.8376265087944534
XLU_long,XLU,1.0
XLU_long,SPY,-0.37476563177152433
XLU_short,XLU,-1.0
XLU_short,SPY,0.37476563177152433
XLC_long,XLC,1.0
XLC_long,SPY,-0.8777751704774877
XLC_short,XLC,-1.0
XLC_short,SPY,0.8777751704774877
XLRE_long,XLRE,1.0
XLRE_long,SPY,-0.5699440742022064
XLRE_short,XLRE,-1.0
XLRE_short,SPY,0.5699440742022064
